,Busia,31,149,564,52,128,61,242,30,41,78,0,106,89,2,3,0.1,186,1762
0,Embu,52,115,567,31,111,29,192,73,28,192,0,135,75,0.0,1,5,120,1726.0
1,Kericho,80,145,722,68,104,34,146,35,32,64,10,130,71,7.0,0,0,74,1722.0
2,Homa Bay,88,178,584,35,127,53,186,18,29,114,0,107,47,1.0,0,0,152,1719.0
3,Nyandarua,62,169,320,40,128,88,205,37,11,273,2,112,43,0.0,10,0,120,1620.0
4,Kajiado,38,86,436,62,99,43,241,70,39,137,0,66,86,0.0,0,1,136,1540.0
5,Siaya,89,155,490,37,136,29,156,22,17,127,3,92,24,0.0,2,0,141,1520.0
6,Nyamira,74,124,615,40,89,24,142,11,3,107,0,80,52,5.0,1,0,73,1440.0
7,Migori,69,136,430,45,80,33,131,15,17,97,3,50,30,0.0,0,0,169,1305.0
8,Nandi,37,122,463,24,100,18,125,5,17,27,2,64,24,5.0,14,0,188,1235.0
9,Bomet,50,102,503,14,72,25,134,12,17,44,0,155,25,3.0,0,0,39,1195.0
10,Narok,26,122,403,27,65,73,134,20,18,35,4,46,32,0.0,0,7,168,1180.0
11,Laikipia,21,108,291,40,97,89,183,45,10,51,0,49,51,8.0,1,0,56,1100.0
12,Vihiga,46,104,331,44,120,9,118,11,7,81,0,51,11,2.0,1,0,67,1003.0
13,Kwale,47,155,292,41,50,44,131,16,9,32,0,31,29,2.0,0,7,110,996.0
14,Turkana,20,71,320,15,71,143,93,13,6,23,3,35,15,0.0,1,0,149,978.0
15,TharakaNithi,42,47,311,16,54,28,112,32,11,96,0,77,22,2.0,0,0,119,969.0
16,,42,4,311,16,54,2,112,32,1,96,0,7,22,,0,0,119,
17,Baringo,42,95,372,15,70,39,85,15,12,17,6,49,24,0.0,0,0,41,882.0
18,Marsabit,37,36,268,34,33,16,90,2,10,53,0,41,8,1.0,0,0,114,743.0
19,TaitaTaveta,21,75,170,36,55,23,99,34,8,81,0,22,4,0.0,0,2,90,720.0
20,Wajir,8,27,176,3,30,10,41,3,4,18,17,125,13,0.0,1,0,188,664.0
21,ElgeyoMarakwet,27,73,262,13,32,20,69,7,6,26,0,52,14,2.0,0,0,58,661.0
22,West Pokot,26,46,224,6,45,24,59,17,13,28,1,50,20,1.0,1,0,96,657.0
23,Garissa,6,28,209,18,21,4,63,6,4,16,0,26,27,1.0,1,0,59,489.0
24,Isiolo,10,29,143,16,50,18,70,13,6,23,23,26,11,3.0,2,3,67,513.0
25,Samburu,32,30,119,16,19,35,78,6,2,23,1,24,13,3.0,0,0,35,436.0
26,Lamu,12,35,90,6,38,9,67,3,0,77,2,15,9,1.0,0,0,70,434.0
27,Tana River,8,40,126,5,36,19,44,4,4,10,18,21,2,0.0,0,0,31,368.0
28,Mandera,6,30,106,12,14,0,24,5,0,103,4,11,3,0.0,1,0,18,337.0
29,Railways,0,1,18,0,7,0,52,6,0,10,0,6,13,3.0,0,0,23,139.0
30,Kapu,0,0,5,0,1,0,30,4,1,19,1,4,11,0.0,0,1,17,94.0
31,Total,2856,7233,25049,2935,5970,2077,12845,2477,1370,8021,213,4783,4100,119.0,174,93,7953,88268.0
