,Busia,42,177,572,44,147,35,242,33,31,84,0,80,97,0.1,2,4,199,1789
0,Embu,95,131,634,34,131,24,234,58,27,148,1,119,55,2,1,0,125,1819
1,Kericho,75,154,708,34,111,24,239,29,16,123,4,147,51,2,0,0,102,1819
2,Homa Bay,86,249,563,63,128,31,161,23,15,184,1,64,47,0,0,0,188,1803
3,Nyandarua,61,136,403,110,139,84,252,62,27,148,18,103,86,10,3,20,106,1768
4,Kajiado,35,108,492,47,118,43,320,67,45,102,0,67,82,3,0,0,149,1678
5,Siaya,62,166,512,44,140,34,176,16,18,138,0,84,30,0,3,0,160,1583
6,Nyamira,85,145,645,16,95,38,161,13,8,104,0,82,26,0,2,0,103,1523
7,Migori,86,140,463,34,82,22,108,18,23,78,20,59,23,0,0,0,167,1323
8,Nandi,37,163,888,28,136,49,203,14,13,112,7,118,42,10,4,0,242,2066
9,Bomet,51,147,614,14,62,22,112,12,43,50,66,137,54,0,0,0,49,1433
10,Narok,21,102,314,24,62,43,89,16,12,39,0,48,16,0,0,0,63,849
11,Laikipia,33,137,292,28,110,56,199,38,8,53,2,57,56,1,0,0,93,1163
12,Vihiga,35,107,343,42,109,15,144,8,7,72,0,48,15,0,0,0,79,1024
13,Kwale,43,201,256,34,64,52,152,18,1,54,0,47,31,2,8,3,94,1060
14,Turkana,23,63,222,16,43,91,72,13,9,3,3,18,15,0,0,0,142,733
15,Tharaka Nithi,33,117,336,18,58,36,78,21,4,129,0,88,18,1,1,0,139,1077
16,Baringo,50,76,290,19,85,40,107,16,9,31,4,47,26,2,0,0,34,836
17,Marsabit,54,40,226,30,22,12,93,8,7,103,0,47,7,0,1,2,131,783
18,Taita Taveta,21,94,217,28,41,21,108,14,9,135,6,44,27,4,4,0,87,860
19,Wajir,7,30,145,0,16,5,35,4,5,24,0,21,15,0,1,0,48,356
20,Elgeyo Marakwet,25,69,246,6,24,14,75,14,0,10,0,45,29,0,0,0,76,633
21,West Pokot,28,30,172,12,38,37,56,0,11,30,0,62,14,0,0,0,72,562
22,Garissa,9,45,217,17,21,5,55,2,0,34,0,19,26,6,0,0,32,488
23,Isiolo,14,43,173,16,45,30,85,16,11,51,0,38,22,1,0,0,74,619
24,Samburu,21,20,84,11,20,49,45,8,1,30,0,14,7,0,1,1,51,363
25,Lamu,14,27,89,7,18,18,43,1,1,50,1,14,7,0,2,0,47,339
26,Tana River,14,67,138,33,34,28,90,7,3,25,0,21,10,0,0,0,59,529
27,Mandera,30,39,131,3,14,0,31,6,1,53,15,10,0,0,3,0,27,363
28,Railways,0,0,11,0,6,0,62,7,0,18,0,3,23,5,2,0,6,143
29,KAPU,1,0,5,0,0,0,28,5,0,9,8,5,2,0,0,1,20,84
30,TOTAL,2971,8051,27193,2861,5976,1962,13954,2226,1298,8011,341,4852,4786,130,77,48,8674,93411
