,BARINGO,81,101,427,16,78,83,66,18,3,7,0,53,10,0.1,0.2,0.3,92,1035
0,NANDI,26,108,387,27,99,26,84,6,13,54,0,58,11,0,0,0,90,989
1,TURKANA,20,87,342,51,61,86,87,11,11,50,2,42,21,0,0,0,103,974
2,BOMET,25,59,416,7,88,34,109,34,10,27,0,96,36,0,0,0,27,968
3,T/TAVETA,25,85,246,23,86,37,149,46,19,84,0,46,39,0,1,0,75,961
4,MAKUENI,33,96,313,32,93,19,127,41,12,66,0,67,19,0,0,2,105,1025
5,EMBU,23,67,250,26,70,15,102,26,3,83,0,75,30,3,3,0,72,848
6,LAIKIPIA,28,84,170,38,69,61,103,30,14,46,0,83,37,0,1,0,66,830
7,W/POKOT,30,49,313,8,25,21,61,4,9,18,2,51,20,0,0,0,73,684
8,GARISSA,20,50,199,24,67,11,84,11,7,40,2,27,22,2,0,0,72,638
9,T/RIVER,17,84,182,39,56,16,47,18,7,52,6,24,26,2,2,0,44,622
10,THARAKA,25,33,271,15,43,17,73,9,9,46,0,41,14,0,1,5,26,628
11,E/MARAKWET,40,54,267,8,47,14,47,6,5,4,0,45,5,0,0,0,29,571
12,LAMU,12,67,138,8,50,10,56,5,3,61,0,23,14,5,5,0,35,492
13,SAMBURU,17,21,102,13,24,31,52,2,0,15,0,19,10,0,1,0,48,355
14,MARSABIT,19,28,173,23,19,13,51,13,1,24,3,31,4,0,9,0,57,468
15,WAJIR,10,25,130,4,17,9,38,2,0,11,1,12,2,0,0,0,56,317
16,MANDERA,14,19,97,8,17,3,18,1,0,34,0,8,4,0,0,0,48,271
17,ISIOLO,0,10,81,8,9,14,31,9,4,2,0,21,2,1,0,0,21,213
18,RAILAYS,0,1,13,0,4,0,83,1,1,4,0,6,14,10,2,0,23,162
19,KAPU,1,1,8,2,8,0,52,8,5,12,0,3,7,6,1,0,18,132
20,TOTAL,2554,6051,20618,2685,5470,1890,9199,2053,1100,5431,107,3919,3205,77,60,21,6010,72490
