,MACHAKOS,38,89,297,48,81,84,87,12,8,18,17,26,24,0,2,0.1,96,927
0,BARINGO,25,80,304,7,77,15,77,9,9,31,3,62,24,0,0,0,72,795
1,LAIKIPIA,54,211,550,113,186,0,599,125,163,358,0,82,241,4,1,0,347,3034
2,EMBU,208,264,522,74,129,31,272,50,54,161,5,96,87,3,0,0,298,2254
3,KITUI,72,128,271,74,60,47,162,22,15,29,0,47,24,2,0,0,84,1037
4,W/POKOT,17,43,86,9,46,25,52,8,4,55,3,32,6,1,0,12,35,434
5,E/MARAKWET,24,62,196,46,64,42,81,44,21,60,7,36,19,2,0,0,51,755
6,T/RIVER,12,61,132,25,41,12,46,17,1,25,4,22,8,2,4,0,41,453
7,THARAKA,59,159,540,62,181,105,264,99,56,118,0,118,85,1,1,0,178,2026
8,MAKUENI,68,145,528,51,151,51,129,27,13,89,0,79,27,4,1,0,107,1470
9,GARISSA,69,157,522,23,97,59,120,26,18,82,2,71,50,0,2,0,102,1400
10,LAMU,76,126,359,39,73,43,157,24,38,62,4,53,51,0,0,0,198,1303
11,MARSABIT,75,198,896,67,139,19,229,22,30,99,29,154,70,0,0,0,153,2180
12,WAJIR,73,98,305,63,82,35,102,26,15,60,0,56,39,4,3,0,94,1055
13,SAMBURU,14,37,169,17,39,3,43,11,3,21,1,16,42,2,1,0,106,525
14,MANDERA,17,10,151,4,13,5,27,2,1,23,18,14,3,1,0,0,54,343
15,RAILWAYS,8,20,84,8,12,3,25,2,2,28,0,11,5,0,3,0,43,254
16,ISIOLO,0,1,10,2,5,0,35,13,10,6,0,2,13,0,0,0,44,141
17,KAPU,0,1,8,0,2,1,36,9,0,7,0,2,23,2,0,0,31,122
18,TOTAL,2751,6228,22295,2697,5621,1918,10361,2440,1355,6160,139,4307,3503,92,57,15,7047,76986
