,Narok,25,168,247,17,47,33,62,5,10,27,0,19,12,0.1,0.2,0.3,47.1,719
0,Kajiado,49,133,277,46,83,33,158,34,20,51,0,44,56,2,0,0,121,1107
1,Kericho,55,163,408,20,67,20,127,14,38,58,7,75,43,1,0,0,62,1158
2,Bomet,43,198,545,16,62,17,81,17,27,24,0,122,44,0,0,0,66,1262
3,Kakamega,87,240,343,65,103,26,100,11,13,24,0,71,39,0,0,0,99,1221
4,Vihiga,57,131,295,30,107,22,109,3,7,57,0,35,14,0,0,0,56,923
5,Bungoma,107,324,682,32,164,69,195,15,25,41,0,69,82,0,0,0,202,2007
6,Busia,43,160,419,20,118,37,160,19,17,70,0,60,40,0,3,0,143,1309
7,Siaya,80,216,391,29,86,36,131,6,15,70,1,66,29,0,0,0,124,1280
8,Kisumu,85,327,700,85,187,26,306,58,27,93,1,136,131,1,4,6,217,2390
9,Homa Bay,108,292,517,58,106,44,118,22,27,114,0,98,33,1,1,0,196,1735
10,Migori,99,213,400,29,64,18,102,6,13,51,13,49,29,0,2,0,158,1246
11,Kisii,82,379,1073,58,129,41,228,20,22,98,0,147,86,1,1,0,237,2602
12,Nyamira,125,151,479,45,67,30,108,2,8,51,0,74,35,0,0,0,90,1265
13,Nairobi,214,546,1079,360,206,6,894,401,160,377,7,162,835,42,15,0,540,5844
14,KAPU,0,1,3,0,0,0,20,3,0,6,2,1,27,0,0,2,1,66
15,Railways,0,2,7,3,14,0,37,2,0,6,0,0,8,0,3,0,7,89
16,TOTAL,3111,9153,19287,2384,4251,1556,8709,1467,1031,4477,186,3524,3494,133,64,26,6792,69645
