,"ELGEYOMARAKWET",50,58,219,37,40,17,58.1,12,6,8,1,78,12.1,0,0.1,0.2,37.1,633
0,GARISSA,9,25,190,16,23,10,51,6,6,33,0,19,16,0,0,0,48,452
1,MANDERA,8,30,161,21,11,2,42,2,0,94,0,17,12,0,0,0,46,446
2,SAMBURU,25,34,136,37,21,36,66,7,3,7,6,20,8,1,0,0,25,432
3,WAJIR,6,30,187,5,33,16,53,8,3,16,0,27,14,0,0,0,27,425
4,TANA RIVER,8,64,130,10,33,20,53,5,4,20,1,8,5,0,0,1,40,402
5,LAMU,10,35,76,9,30,11,54,4,4,70,2,12,5,0,0,0,63,385
6,ISIOLO,24,16,114,14,17,28,32,8,11,16,0,25,8,1,4,1,49,368
7,KAPU,3,0,11,1,1,0,40,5,6,18,0,4,14,0,0,0,26,129
8,RAILWAYS,0,2,11,1,3,0,21,9,3,10,0,2,23,6,1,0,9,101
9,TOTAL,2774,5492,22515,2713,6131,2136,11656,2632,1404,5565,69,4262,3695,75,86,15,6772,77992
