Counties,Homicide,Offences against morality,Other offences against persons,Robbery,Breakings,Theft of Stock,Stealing,Theft by workers,Vehicle theft,Dangerous drugs,Traffic offences,Criminal damage,Economic crimes,Corruption,Offences involving police,Offences involving tourists,other penal code offences,year
NAIROBI,247,370,1512,349,385,4,1304,520,273,537,5,266,935,7,5,0,715,2017
KIAMBU,159,288,1296,299,389,30,943,269,87,848,3,267,329,2,0,2,392,2017
MERU,133,199,1723,111,285,143,1126,131,38,182,0,401,178,1,4,0,496,2017
NAKURU,149,321,990,172,371,99,766,197,97,268,5,205,300,9,13,3,348,2017
MOMBASA,49,183,492,144,208,11,666,109,136,250,3,72,192,9,16,1,306,2017
MACHAKOS,72,169,710,73,204,69,377,108,38,359,1,166,96,2,10,0,179,2017
MURANGA,70,137,622,86,163,38,282,51,18,452,0,145,50,0,3,0,285,2017
BUNGOMA,56,228,816,75,237,82,281,39,46,55,0,110,95,5,0,0,144,2017
KISII,103,191,915,58,162,39,225,32,17,145,11,132,48,3,0,0,137,2017
UASIN GISHU,40,189,570,60,181,46,366,98,33,49,1,140,133,1,1,0,164,2017
KITUI,73,149,546,27,179,119,290,44,10,219,0,110,52,4,1,0,123,2017
KISUMU,64,140,498,71,202,55,249,77,36,101,0,104,77,2,2,0,180,2017
KILIFI,145,166,384,27,105,35,248,40,30,97,0,78,88,1,0,0,248,2017
TRANS NZOIA,45,149,596,18,171,52,233,50,44,39,0,70,91,0,2,0,114,2017
NYERI,79,99,360,101,178,41,280,57,20,153,1,87,59,3,1,3,135,2017
KAJIADO,35,104,461,63,128,43,241,81,51,145,1,49,90,1,3,0,154,2017
BUSIA,44,140,497,50,169,33,263,47,38,53,2,78,72,0,0,2,151,2017
EMBU,51,83,548,31,136,21,206,77,19,162,0,116,49,0,2,1,131,2017
KIRINYAGA,42,99,503,26,128,29,213,55,18,186,0,110,70,2,1,0,131,2017
MAKUENI,70,130,473,37,148,61,240,40,25,90,0,105,34,1,1,0,138,2017
KAKAMEGA,42,115,485,53,163,44,209,63,24,78,1,89,71,1,1,0,145,2017
KERICHO,61,98,624,43,121,57,153,38,31,55,2,125,52,0,0,0,64,2017
NYANDARUA,69,127,328,38,178,73,197,52,15,99,1,81,41,1,2,0,100,2017
HOMA BAY,59,109,457,47,125,51,166,29,16,64,4,78,42,0,0,0,85,2017
SIAYA,86,125,448,23,146,38,134,16,21,54,0,102,23,0,0,0,105,2017
MIGORI,74,78,400,64,107,39,153,14,23,54,0,63,40,3,0,0,169,2017
LAIKIPIA,37,76,300,37,104,114,219,41,12,53,10,81,53,0,1,0,82,2017
NANDI,30,94,424,29,110,30,132,12,9,47,0,61,26,6,0,0,138,2017
NAROK,44,91,364,35,89,86,132,36,19,39,0,65,26,0,3,0,81,2017
TURKANA,44,100,339,49,80,120,93,7,19,28,5,29,19,0,1,0,159,2017
NYAMIRA,81,128,372,60,97,37,101,11,6,37,0,56,13,0,0,0,92,2017
KWALE,42,137,214,65,53,43,129,22,15,32,0,30,19,0,8,0,42,2017
BOMET,34,64,364,15,68,28,73,11,19,29,0,91,19,1,0,0,34,2017
THARAKA NITHI,34,38,294,19,65,34,98,19,10,45,0,66,19,0,0,0,105,2017
BARINGO,56,55,314,11,69,59,68,22,9,14,1,48,21,0,0,0,74,2017
VIHIGA,27,82,288,32,84,8,89,3,5,58,0,46,13,0,0,0,29,2017
MARSABIT,35,43,333,26,26,20,69,14,9,38,0,45,9,0,0,0,69,2017
TAITA TAVETA,24,58,178,23,72,33,86,24,10,46,1,39,17,2,0,1,65,2017
ELGEYO MARAKWET,50,58,219,37,40,17,58,12,6,8,1,78,12,0,0,0,37,2017
GARISSA,9,25,190,16,23,10,51,6,6,33,0,19,16,0,0,0,48,2017
MANDERA,8,30,161,21,11,2,42,2,0,94,0,17,12,0,0,0,46,2017
SAMBURU,25,34,136,37,21,36,66,7,3,7,6,20,8,1,0,0,25,2017
WAJIR,6,30,187,5,33,16,53,8,3,16,0,27,14,0,0,0,27,2017
TANA RIVER,8,64,130,10,33,20,53,5,4,20,1,8,5,0,0,1,40,2017
LAMU,10,35,76,9,30,11,54,4,4,70,2,12,5,0,0,0,63,2017
ISIOLO,24,16,114,14,17,28,32,8,11,16,0,25,8,1,4,1,49,2017
WEST POKOT,26,46,242,15,33,32,86,10,12,13,1,44,17,0,0,0,93,2017
